Altium Designer Pick and Place Locations
C:\Git\OpenNerve-main\OpenNerve-main\IPG and Charger\IPG PCBA\Source Files (Altium)\Layout\Output\Assembly\Pick Place\Pick Place for HORNET-1-IPG(Roedent Study-HORNET-1-IPG).txt

========================================================================================================================
File Design Information:

Date:       11/11/24
Time:       15:58
Revision:   Not in VersionControl
Variant:    Roedent Study-HORNET-1-IPG
Units used: mil

Designator Center-X(mil) Center-Y(mil) Layer       Rotation 
L500       -664.668      876.064       TopLayer    0        
M405       -437.008      109.103       TopLayer    90       
M412       224.409       109.103       TopLayer    90       
M419       5.928         19.240        TopLayer    270      
M502       381.200       673.228       TopLayer    0        
M400       -11.812       728.347       TopLayer    90       
M404       -51.870       775.590       TopLayer    0        
M407       90.551        672.342       TopLayer    90       
M408       90.551        721.162       TopLayer    270      
M401       -51.181       933.071       TopLayer    270      
M402       -15.748       1027.559      TopLayer    0        
M403       -31.496       1133.170      TopLayer    90       
M406       11.810        1133.170      TopLayer    90       
M409       133.858       728.347       TopLayer    90       
M414       97.736        775.590       TopLayer    0        
M416       240.157       672.540       TopLayer    90       
M417       240.157       721.162       TopLayer    270      
M410       102.362       933.071       TopLayer    270      
M413       118.110       1133.170      TopLayer    90       
M415       51.000        1133.170      TopLayer    90       
M420       314.960       350.394       TopLayer    90       
M421       314.960       464.567       TopLayer    90       
M422       362.894       358.268       TopLayer    180      
M600       480.314       452.756       TopLayer    270      
M418       55.118        19.240        TopLayer    270      
M603       594.488       547.244       TopLayer    90       
M311       -622.048      566.929       TopLayer    0        
M300       -566.929      566.929       TopLayer    0        
M308       -622.048      637.796       TopLayer    180      
M312       -401.575      633.858       TopLayer    0        
M306       -456.693      618.110       TopLayer    180      
M309       -401.575      586.614       TopLayer    0        
M305       -775.591      653.543       TopLayer    270      
M310       -677.166      637.796       TopLayer    0        
M503       120.474       553.014       TopLayer    90       
M500       130.305       590.259       TopLayer    180      
M501       -322.835      933.071       TopLayer    270      
M506       121.001       505.690       TopLayer    270      
M505       74.802        492.126       TopLayer    270      
Q910       -358.268      688.976       TopLayer    270      
R408       -437.008      65.796        TopLayer    180      
R413       224.409       65.796        TopLayer    180      
R422       0.001         -20.820       TopLayer    180      
R500       417.323       657.480       TopLayer    270      
R502       330.709       673.228       TopLayer    180      
R407       23.622        937.008       TopLayer    90       
R409       27.558        1034.283      TopLayer    90       
R402       -11.812       933.071       TopLayer    90       
R401       -47.245       1074.804      TopLayer    0        
R403       -66.930       1133.859      TopLayer    90       
R419       177.166       937.008       TopLayer    90       
R420       196.412       1020.258      TopLayer    0        
R412       141.732       933.071       TopLayer    90       
R411       106.299       1074.804      TopLayer    0        
R414       82.676        1133.859      TopLayer    90       
R423       318.898       299.213       TopLayer    270      
R424       279.528       350.394       TopLayer    270      
R425       248.032       350.394       TopLayer    90       
R426       318.898       413.386       TopLayer    270      
R427       279.528       464.567       TopLayer    270      
R428       248.032       464.567       TopLayer    90       
R421       -55.119       -20.818       TopLayer    0        
R602       503.937       362.204       TopLayer    180      
R603       601.605       587.606       TopLayer    0        
R601       539.370       496.064       TopLayer    0        
R604       543.307       590.999       TopLayer    180      
R324       -566.929      531.496       TopLayer    180      
R328       -622.047      602.362       TopLayer    0        
R317       -566.929      602.362       TopLayer    180      
R319       -622.047      531.496       TopLayer    180      
R329       -622.047      673.228       TopLayer    0        
R325       -511.811      633.858       TopLayer    0        
R326       -346.457      633.858       TopLayer    0        
R316       -511.811      574.804       TopLayer    0        
R322       -456.693      574.804       TopLayer    0        
R315       -511.811      606.300       TopLayer    0        
R330       -359.000      592.795       TopLayer    90       
R310       -566.929      633.858       TopLayer    180      
R318       -677.166      673.228       TopLayer    180      
R320       -732.284      602.362       TopLayer    0        
R323       -677.166      602.362       TopLayer    0        
R506       -539.369      1043.306      TopLayer    0        
R511       -578.740      881.890       TopLayer    270      
R929       -405.512      673.228       TopLayer    0        
R930       -405.512      704.724       TopLayer    0        
R505       -322.835      1011.812      TopLayer    180      
R503       78.740        559.056       TopLayer    0        
R504       -322.835      976.378       TopLayer    0        
R509       78.492        531.720       TopLayer    0        
R501       79.133        621.597       TopLayer    0        
R928       -358.268      751.969       TopLayer    270      
TP402      -100.000      500.000       BottomLayer 270      
TP403      0.000         1100.000      BottomLayer 270      
TP407      -99.740       599.741       BottomLayer 270      
TP419      0.000         500.000       BottomLayer 270      
TP420      500.000       600.000       BottomLayer 270      
TP422      300.000       300.000       BottomLayer 270      
TP404      200.000       600.000       BottomLayer 270      
TP421      300.000       500.000       BottomLayer 270      
TP427      400.000       400.000       BottomLayer 270      
TP500      300.000       800.000       BottomLayer 270      
TP502      400.000       700.000       BottomLayer 270      
TP501      500.000       700.000       BottomLayer 270      
TP400      -100.000      800.000       BottomLayer 270      
TP401      -100.000      900.000       BottomLayer 270      
TP406      100.000       1100.000      BottomLayer 270      
TP405      -99.999       1200.000      BottomLayer 270      
TP417      100.000       800.000       BottomLayer 270      
TP418      100.000       900.000       BottomLayer 270      
TP425      0.000         900.000       BottomLayer 270      
TP424      0.000         1200.000      BottomLayer 270      
TP428      700.000       900.000       BottomLayer 270      
TP429      200.000       500.000       BottomLayer 270      
TP426      300.000       700.000       BottomLayer 270      
TP600      400.000       600.000       BottomLayer 270      
TP601      500.000       400.000       BottomLayer 270      
TP408      -500.000      1200.000      BottomLayer 270      
TP423      400.000       500.000       BottomLayer 270      
TP409      736.000       1296.999      TopLayer    270      
TP410      500.000       1700.000      BottomLayer 270      
TP411      200.000       800.000       BottomLayer 270      
TP412      -696.850      519.686       TopLayer    270      
TP413      700.000       1300.000      BottomLayer 270      
TP414      200.000       1200.000      BottomLayer 270      
TP415      -200.000      600.000       BottomLayer 270      
TP416      600.000       700.000       BottomLayer 270      
TP300      -300.000      500.000       BottomLayer 270      
TP313      -400.000      400.000       BottomLayer 270      
TP302      -400.000      500.000       BottomLayer 270      
TP308      -200.000      500.000       BottomLayer 270      
TP311      -600.000      500.000       BottomLayer 270      
TP312      -300.000      600.000       BottomLayer 270      
TP309      600.000       1100.000      BottomLayer 270      
TP310      -600.000      1100.000      BottomLayer 270      
TP321      100.000       1000.000      BottomLayer 270      
TP505      -500.000      1100.000      BottomLayer 270      
TP506      -100.000      1700.000      BottomLayer 270      
TP504      0.000         600.000       BottomLayer 270      
TP509      100.000       500.000       BottomLayer 270      
TP503      -700.000      900.000       BottomLayer 270      
U315       -149.606      543.307       TopLayer    0        
U503       -511.811      881.890       TopLayer    180      
U501       -669.291      1003.937      TopLayer    180      
Y100       700.787       917.323       TopLayer    270      
Y101       696.850       795.276       TopLayer    90       
U701       -188.977      1292.833      TopLayer    0        
R102       637.795       712.598       TopLayer    180      
R103       413.385       1043.308      TopLayer    180      
R931       -405.512      799.212       TopLayer    0        
TP203      500.000       1000.000      BottomLayer 270      
TP201      600.000       1700.000      BottomLayer 270      
TP202      500.000       1500.000      BottomLayer 270      
